Type,conn,Payload,dialup,,,latency,,,,,,,throughput,Mode,,speed,,,success,latency,,,,,,,throughput,dialup,,,speed,,
,,,average,fastest,slowest,10%,25%,50%,75%,90%,95%,99%,Mib,secs,count,slowest,fastest,average,,10,25,50,75,90,95,99,,average,slowest,fastest,slowest,fastest,average
nodelay,wired,512kb,0.0942,0.0806,0.1303,0.3797,0.3855,0.3923,0.3991,0.4056,0.4099,0.4222,20.36,0.397,2896,0.4595,0.3551,0.3926,100%,,,,,,,,,,,,,,
delay,wired,1mb,0.0957,0.0823,0.1365,0.4339,0.4406,0.4483,0.4565,0.4655,0.4724,0.4872,35.57,0.459,2308,0.5351,0.4091,0.4492,100%,-10.8,-10,-9.3,-9.2,-9.2,-9.5,-2.5,-0.62,-1.5,-1.9,958.1,1836.1,-11.2,-7.5
nodelay,wired,1mb,0.0942,0.0804,1.0946,0.4231,0.4306,0.439,0.4473,0.4563,0.4629,0.4847,36.19,0.595,6497,2.3712,0.3979,0.4417,100%,,,,,,,,,,,,,,
delay,mobile,10b,0.137,0.104,3.1531,0.2124,0.2568,0.2656,0.2748,0.2846,0.2999,1.2672,4.673E-05,0.503,885,3.3021,0.1922,0.2794,100%,-48.5,-88.4,-90.8,-91.2,-90.5,-93.4,-75.8,-7.15256E-05,9.3,-3.3,12313.2,12227.5,-38,-72.8
nodelay,mobile,10b,0.1463,0.1007,15.4663,0.1639,0.1684,0.1748,0.1836,0.1941,0.2065,1.1914,0.000118256,1.692,2246,15.5296,0.1542,0.2066,100%,,,,,,,,,,,,,,
delay,mobile,200kb,0.1404,0.1033,1.2011,0.3345,0.3498,0.3683,0.3966,0.4285,0.4531,0.658,2.17,0.425,1768,1.4773,0.3077,0.3848,100%,-6.3,-10.5,-14.1,-22.8,-29.4,-37.2,678.2,-0.26,-5.5,-0.1,-3.2,51.9,0,-15.6
nodelay,mobile,200kb,0.1349,0.1032,1.1979,0.3282,0.3393,0.3542,0.3738,0.3991,0.4159,1.3362,2.43,0.43,2161,1.5292,0.3077,0.3692,100%,,,,,,,,,,,,,,
delay,mobile,512kb,0.1473,0.1052,1.2349,0.4349,0.4555,0.4824,0.5154,0.5557,0.591,1.4552,4.89,0.839,1737,4.9412,0.3833,0.5096,100%,-17.6,-25.5,-33.5,-39,-48.1,-53.1,-654.4,-0.47,-5.3,-2.3,-80.4,-3085.9,-13.6,-23.8
nodelay,mobile,512kb,0.142,0.1029,1.1545,0.4173,0.43,0.4489,0.4764,0.5076,0.5379,0.8008,5.36,0.518,1376,1.8553,0.3697,0.4858,100%,,,,,,,,,,,,,,
delay,mobile,1mb,0.151,0.1046,1.2671,0.5274,0.5601,0.6108,0.682,0.7509,0.8138,0.9883,7.86,0.724,672,1.8365,0.4459,0.6346,100%,-0.6,2.1,-4.8,-18.5,21.7,79,683.8,0.24,7.2,0.6,91.6,1047.3,-3.5,13.8
